year,geoid,county,r1,r2,r3,r4,r5,r6,r7,rural_total,u1,u2,u3,u4,u5,u6,u7,urban_total,both_total
2018,24001,ALLEGANY,181,0,21,18,24,9,51,304,173,0,97,172,37,8,34,521,825
2018,24003,ANNE ARUNDEL,111,0,114,75,33,23,70,426,1286,1745,876,934,415,130,379,5765,6191
2018,24005,BALTIMORE CO,299,0,44,66,180,54,123,766,3756,495,1118,1318,547,151,520,7905,8671
2018,24009,CALVERT,0,0,22,0,24,22,9,77,0,0,466,50,98,20,45,679,756
2018,24011,CAROLINE,0,21,97,115,77,28,65,403,0,0,0,0,0,0,0,0,403
2018,24013,CARROLL,0,0,43,197,99,47,71,457,41,0,485,139,130,4,56,855,1312
2018,24015,CECIL,205,13,35,122,27,37,84,523,315,0,224,129,50,18,52,788,1311
2018,24017,CHARLES,0,0,114,72,75,47,55,363,0,0,533,182,154,14,62,945,1308
2018,24019,DORCHESTER,0,0,91,73,45,22,44,275,0,0,50,16,14,8,6,94,369
2018,24021,FREDERICK,278,210,47,125,126,50,165,1001,850,481,127,293,282,48,146,2227,3228
2018,24023,GARRETT,193,0,98,64,56,30,86,527,0,0,0,1,0,0,0,1,528
2018,24025,HARFORD,70,0,79,139,100,48,81,517,702,156,367,377,240,85,136,2063,2580
2018,24027,HOWARD,318,10,107,35,73,30,114,687,1159,1156,276,493,334,16,242,3676,4363
2018,24029,KENT,0,32,0,26,71,24,27,180,0,0,0,15,12,0,2,29,209
2018,24031,MONTGOMERY,73,0,16,62,85,30,50,316,2566,547,1959,1230,567,111,491,7471,7787
2018,24033,PRINCE GEORGES,0,0,43,30,65,20,29,187,3193,1627,1881,1133,756,54,608,9252,9439
2018,24035,QUEEN ANNES,0,207,114,85,80,40,102,628,0,289,0,15,9,6,22,341,969
2018,24037,ST. MARYS,0,0,191,179,101,54,99,624,0,0,170,71,52,5,21,319,943
2018,24039,SOMERSET,0,0,92,28,33,15,32,200,0,0,56,0,14,1,5,76,276
2018,24041,TALBOT,0,0,222,93,43,17,75,450,0,0,135,22,24,5,13,199,649
2018,24043,WASHINGTON,464,1,25,106,85,50,143,874,562,0,151,258,135,15,79,1200,2074
2018,24045,WICOMICO,0,0,153,23,43,40,46,305,0,120,268,110,124,22,45,689,994
2018,24047,WORCESTER,0,21,228,35,64,22,73,443,0,46,224,46,57,0,26,399,842
