time,year,rural-avg,rural-per-hour
0,2016,181464,1843
1,2016,181464,1384
2,2016,181464,1340
3,2016,181464,1724
4,2016,181464,3253
5,2016,181464,5501
6,2016,181464,7727
7,2016,181464,9846
8,2016,181464,9360
9,2016,181464,9047
10,2016,181464,9661
11,2016,181464,10342
12,2016,181464,10739
13,2016,181464,11302
14,2016,181464,12316
15,2016,181464,13377
16,2016,181464,13686
17,2016,181464,12608
18,2016,181464,9879
19,2016,181464,7939
20,2016,181464,6541
21,2016,181464,5154
22,2016,181464,3798
23,2016,181464,2774
0,2015,174614,1766
1,2015,174614,1288
2,2015,174614,1259
3,2015,174614,1610
4,2015,174614,2973
5,2015,174614,5216
6,2015,174614,7391
7,2015,174614,9585
8,2015,174614,9076
9,2015,174614,8682
10,2015,174614,9194
11,2015,174614,9873
12,2015,174614,10234
13,2015,174614,10779
14,2015,174614,11778
15,2015,174614,12858
16,2015,174614,13274
17,2015,174614,12296
18,2015,174614,9576
19,2015,174614,7664
20,2015,174614,6281
21,2015,174614,4994
22,2015,174614,3668
23,2015,174614,2664
0,2014,150140,1537
1,2014,150140,1127
2,2014,150140,1072
3,2014,150140,1423
4,2014,150140,2666
5,2014,150140,4664
6,2014,150140,6532
7,2014,150140,8407
8,2014,150140,7869
9,2014,150140,7451
10,2014,150140,7884
11,2014,150140,8382
12,2014,150140,8711
13,2014,150140,9115
14,2014,150140,10018
15,2014,150140,10952
16,2014,150140,11411
17,2014,150140,10649
18,2014,150140,8332
19,2014,150140,6664
20,2014,150140,5414
21,2014,150140,4284
22,2014,150140,3135
23,2014,150140,2288
0,2013,131529,1350
1,2013,131529,991
2,2013,131529,951
3,2013,131529,1267
4,2013,131529,2471
5,2013,131529,4237
6,2013,131529,5975
7,2013,131529,7683
8,2013,131529,7061
9,2013,131529,6485
10,2013,131529,6824
11,2013,131529,7210
12,2013,131529,7426
13,2013,131529,7828
14,2013,131529,8675
15,2013,131529,9649
16,2013,131529,10138
17,2013,131529,9506
18,2013,131529,7372
19,2013,131529,5854
20,2013,131529,4749
21,2013,131529,3776
22,2013,131529,2764
23,2013,131529,2043
0,2012,169502,1772
1,2012,169502,1299
2,2012,169502,1244
3,2012,169502,1578
4,2012,169502,2916
5,2012,169502,5023
6,2012,169502,7165
7,2012,169502,9322
8,2012,169502,8813
9,2012,169502,8383
10,2012,169502,8925
11,2012,169502,9559
12,2012,169502,9936
13,2012,169502,10376
14,2012,169502,11413
15,2012,169502,12510
16,2012,169502,13163
17,2012,169502,12076
18,2012,169502,9499
19,2012,169502,7525
20,2012,169502,6172
21,2012,169502,4909
22,2012,169502,3575
23,2012,169502,2603
0,2011,169653,1782
1,2011,169653,1308
2,2011,169653,1257
3,2011,169653,1571
4,2011,169653,2922
5,2011,169653,5029
6,2011,169653,7178
7,2011,169653,9229
8,2011,169653,8741
9,2011,169653,8431
10,2011,169653,8959
11,2011,169653,9588
12,2011,169653,9956
13,2011,169653,10451
14,2011,169653,11415
15,2011,169653,12496
16,2011,169653,13115
17,2011,169653,12078
18,2011,169653,9496
19,2011,169653,7545
20,2011,169653,6179
21,2011,169653,4998
22,2011,169653,3640
23,2011,169653,2636
0,2010,149975,1441
1,2010,149975,1035
2,2010,149975,940
3,2010,149975,1123
4,2010,149975,1907
5,2010,149975,4217
6,2010,149975,7506
7,2010,149975,9243
8,2010,149975,8723
9,2010,149975,7940
10,2010,149975,7757
11,2010,149975,8136
12,2010,149975,8425
13,2010,149975,8821
14,2010,149975,9806
15,2010,149975,11176
16,2010,149975,11877
17,2010,149975,11481
18,2010,149975,9187
19,2010,149975,6662
20,2010,149975,5268
21,2010,149975,4275
22,2010,149975,3138
23,2010,149975,2195
0,2009,208099,1998
1,2009,208099,1422
2,2009,208099,1278
3,2009,208099,1506
4,2009,208099,2640
5,2009,208099,6346
6,2009,208099,11341
7,2009,208099,13724
8,2009,208099,13047
9,2009,208099,11299
10,2009,208099,10671
11,2009,208099,10966
12,2009,208099,11262
13,2009,208099,11825
14,2009,208099,13391
15,2009,208099,15433
16,2009,208099,16680
17,2009,208099,16175
18,2009,208099,13060
19,2009,208099,9417
20,2009,208099,7355
21,2009,208099,6031
22,2009,208099,4519
23,2009,208099,3155
0,2008,186788,1780
1,2008,186788,1284
2,2008,186788,1186
3,2008,186788,1419
4,2008,186788,2547
5,2008,186788,6393
6,2008,186788,11200
7,2008,186788,13132
8,2008,186788,12296
9,2008,186788,10306
10,2008,186788,9394
11,2008,186788,9557
12,2008,186788,9782
13,2008,186788,10288
14,2008,186788,11887
15,2008,186788,13975
16,2008,186788,15051
17,2008,186788,14702
18,2008,186788,11727
19,2008,186788,8226
20,2008,186788,6446
21,2008,186788,5323
22,2008,186788,3997
23,2008,186788,2804
0,2007,,1381
1,2007,,1020
2,2007,,946
3,2007,,1099
4,2007,,1801
5,2007,,3949
6,2007,,7105
7,2007,,8680
8,2007,,8059
9,2007,,7170
10,2007,,6868
11,2007,,7077
12,2007,,7100
13,2007,,7825
14,2007,,8699
15,2007,,9744
16,2007,,10438
17,2007,,10363
18,2007,,8401
19,2007,,5878
20,2007,,4649
21,2007,,3722
22,2007,,2941
23,2007,,2080
