time,year,urban-avg,urban-per-hour
0,2016,1623858,14304
1,2016,1623858,9266
2,2016,1623858,7929
3,2016,1623858,10105
4,2016,1623858,22717
5,2016,1623858,60658
6,2016,1623858,98786
7,2016,1623858,115776
8,2016,1623858,112536
9,2016,1623858,99389
10,2016,1623858,87780
11,2016,1623858,86070
12,2016,1623858,89414
13,2016,1623858,93068
14,2016,1623858,105739
15,2016,1623858,109904
16,2016,1623858,109479
17,2016,1623858,109751
18,2016,1623858,101160
19,2016,1623858,80646
20,2016,1623858,62454
21,2016,1623858,51963
22,2016,1623858,39246
23,2016,1623858,26440
0,2015,2064119,19743
1,2015,2064119,12997
2,2015,2064119,11024
3,2015,2064119,13707
4,2015,2064119,28821
5,2015,2064119,75122
6,2015,2064119,121801
7,2015,2064119,146823
8,2015,2064119,139750
9,2015,2064119,121423
10,2015,2064119,107548
11,2015,2064119,106936
12,2015,2064119,111004
13,2015,2064119,115312
14,2015,2064119,132539
15,2015,2064119,143990
16,2015,2064119,149579
17,2015,2064119,149537
18,2015,2064119,131368
19,2015,2064119,101210
20,2015,2064119,78917
21,2015,2064119,66368
22,2015,2064119,50585
23,2015,2064119,35204
0,2014,2523220,23700
1,2014,2523220,15153
2,2014,2523220,12873
3,2014,2523220,15960
4,2014,2523220,33909
5,2014,2523220,92093
6,2014,2523220,150867
7,2014,2523220,182881
8,2014,2523220,173922
9,2014,2523220,150181
10,2014,2523220,132199
11,2014,2523220,130472
12,2014,2523220,135765
13,2014,2523220,141106
14,2014,2523220,162979
15,2014,2523220,175832
16,2014,2523220,180133
17,2014,2523220,179233
18,2014,2523220,160078
19,2014,2523220,124156
20,2014,2523220,96683
21,2014,2523220,81727
22,2014,2523220,62935
23,2014,2523220,43226
0,2013,2935453,27716
1,2013,2935453,17815
2,2013,2935453,15319
3,2013,2935453,18778
4,2013,2935453,38354
5,2013,2935453,104202
6,2013,2935453,175328
7,2013,2935453,217877
8,2013,2935453,206203
9,2013,2935453,175015
10,2013,2935453,153448
11,2013,2935453,152124
12,2013,2935453,157859
13,2013,2935453,164022
14,2013,2935453,191049
15,2013,2935453,208282
16,2013,2935453,214043
17,2013,2935453,214026
18,2013,2935453,188467
19,2013,2935453,142143
20,2013,2935453,110351
21,2013,2935453,93620
22,2013,2935453,72091
23,2013,2935453,49528
0,2012,3030077,28919
1,2012,3030077,18735
2,2012,3030077,16141
3,2012,3030077,18991
4,2012,3030077,37938
5,2012,3030077,104799
6,2012,3030077,181272
7,2012,3030077,229318
8,2012,3030077,216748
9,2012,3030077,179541
10,2012,3030077,156665
11,2012,3030077,156001
12,2012,3030077,162266
13,2012,3030077,168263
14,2012,3030077,196176
15,2012,3030077,216748
16,2012,3030077,226083
17,2012,3030077,225336
18,2012,3030077,194308
19,2012,3030077,145772
20,2012,3030077,114249
21,2012,3030077,97735
22,2012,3030077,74528
23,2012,3030077,51502
0,2011,3055718,29762
1,2011,3055718,19312
2,2011,3055718,16617
3,2011,3055718,19469
4,2011,3055718,39770
5,2011,3055718,108456
6,2011,3055718,181490
7,2011,3055718,225465
8,2011,3055718,214973
9,2011,3055718,180995
10,2011,3055718,159134
11,2011,3055718,158128
12,2011,3055718,164681
13,2011,3055718,170441
14,2011,3055718,198311
15,2011,3055718,216596
16,2011,3055718,225128
17,2011,3055718,224870
18,2011,3055718,194637
19,2011,3055718,148100
20,2011,3055718,115988
21,2011,3055718,100278
22,2011,3055718,76844
23,2011,3055718,52560
0,2010,2799484,28348
1,2010,2799484,18560
2,2010,2799484,15915
3,2010,2799484,17971
4,2010,2799484,34905
5,2010,2799484,94467
6,2010,2799484,162240
7,2010,2799484,202818
8,2010,2799484,194385
9,2010,2799484,163633
10,2010,2799484,146521
11,2010,2799484,146913
12,2010,2799484,153558
13,2010,2799484,158213
14,2010,2799484,181676
15,2010,2799484,197564
16,2010,2799484,205348
17,2010,2799484,204792
18,2010,2799484,176596
19,2010,2799484,135703
20,2010,2799484,107621
21,2010,2799484,93534
22,2010,2799484,72505
23,2010,2799484,49873
0,2009,2346117,23515
1,2009,2346117,15338
2,2009,2346117,13104
3,2009,2346117,14619
4,2009,2346117,27914
5,2009,2346117,77470
6,2009,2346117,134842
7,2009,2346117,170876
8,2009,2346117,163720
9,2009,2346117,136834
10,2009,2346117,122834
11,2009,2346117,123458
12,2009,2346117,128691
13,2009,2346117,132667
14,2009,2346117,152828
15,2009,2346117,167816
16,2009,2346117,175306
17,2009,2346117,175598
18,2009,2346117,149907
19,2009,2346117,113898
20,2009,2346117,89923
21,2009,2346117,78341
22,2009,2346117,60610
23,2009,2346117,41593
0,2008,3219326,32632
1,2008,3219326,21511
2,2008,3219326,18299
3,2008,3219326,20451
4,2008,3219326,39712
5,2008,3219326,111307
6,2008,3219326,188883
7,2008,3219326,235438
8,2008,3219326,224879
9,2008,3219326,189649
10,2008,3219326,168256
11,2008,3219326,167648
12,2008,3219326,174726
13,2008,3219326,181054
14,2008,3219326,210656
15,2008,3219326,230479
16,2008,3219326,237981
17,2008,3219326,238046
18,2008,3219326,204798
19,2008,3219326,157035
20,2008,3219326,122664
21,2008,3219326,107354
22,2008,3219326,83775
23,2008,3219326,57260
0,2007,,26981
1,2007,,17729
2,2007,,14895
3,2007,,16647
4,2007,,32097
5,2007,,89467
6,2007,,151680
7,2007,,189106
8,2007,,181204
9,2007,,154063
10,2007,,138099
11,2007,,135819
12,2007,,142906
13,2007,,146889
14,2007,,170314
15,2007,,186034
16,2007,,190683
17,2007,,192020
18,2007,,168082
19,2007,,130860
20,2007,,102438
21,2007,,88695
22,2007,,69078
23,2007,,48040
